build_id,role,rom_offset,compressed_bytes,pixel_sha1,asset_prefix,dedup_group
aka-jp-rev0,front,0x24D15,586,e5471acd3082340c62ed3e69cc712819cec75aa8,gfx/pokemon/front/rg/slowbro,rg-front-slowbro
aka-jp-reva,front,0x24D15,586,e5471acd3082340c62ed3e69cc712819cec75aa8,gfx/pokemon/front/rg/slowbro,rg-front-slowbro
red-en-ue,front,0x24D0A,637,38d818337cb0e13e42013c4f784627114227e311,gfx/pokemon/front/rb/slowbro,rb-front-slowbro
red-de,front,0x24D0A,637,38d818337cb0e13e42013c4f784627114227e311,gfx/pokemon/front/rb/slowbro,rb-front-slowbro
red-it,front,0x24D0A,637,38d818337cb0e13e42013c4f784627114227e311,gfx/pokemon/front/rb/slowbro,rb-front-slowbro
red-es,front,0x24D0A,637,38d818337cb0e13e42013c4f784627114227e311,gfx/pokemon/front/rb/slowbro,rb-front-slowbro
red-fr,front,0x24D0A,637,38d818337cb0e13e42013c4f784627114227e311,gfx/pokemon/front/rb/slowbro,rb-front-slowbro
aka-jp-rev0,back,0x24F5F,164,bfc8fdbfaa8219397eaaa7aecc9a8e77d00dd78e,gfx/pokemon/back/shared/slowbro,shared-back-slowbro
aka-jp-reva,back,0x24F5F,164,bfc8fdbfaa8219397eaaa7aecc9a8e77d00dd78e,gfx/pokemon/back/shared/slowbro,shared-back-slowbro
red-en-ue,back,0x24F87,164,bfc8fdbfaa8219397eaaa7aecc9a8e77d00dd78e,gfx/pokemon/back/shared/slowbro,shared-back-slowbro
red-de,back,0x24F87,164,bfc8fdbfaa8219397eaaa7aecc9a8e77d00dd78e,gfx/pokemon/back/shared/slowbro,shared-back-slowbro
red-it,back,0x24F87,164,bfc8fdbfaa8219397eaaa7aecc9a8e77d00dd78e,gfx/pokemon/back/shared/slowbro,shared-back-slowbro
red-es,back,0x24F87,164,bfc8fdbfaa8219397eaaa7aecc9a8e77d00dd78e,gfx/pokemon/back/shared/slowbro,shared-back-slowbro
red-fr,back,0x24F87,164,bfc8fdbfaa8219397eaaa7aecc9a8e77d00dd78e,gfx/pokemon/back/shared/slowbro,shared-back-slowbro
