build_id,role,rom_offset,compressed_bytes,pixel_sha1,asset_prefix,dedup_group
aka-jp-rev0,front,0x2492E,138,b2c5e73963f7f8e75bc9d164ee7b20df9616507a,gfx/pokemon/front/rg/voltorb,rg-front-voltorb
aka-jp-reva,front,0x2492E,138,b2c5e73963f7f8e75bc9d164ee7b20df9616507a,gfx/pokemon/front/rg/voltorb,rg-front-voltorb
red-en-ue,front,0x24911,137,c49e774991ee5ba06a9558ec4984f5552b02e6e0,gfx/pokemon/front/rb/voltorb,rb-front-voltorb
red-de,front,0x24911,137,c49e774991ee5ba06a9558ec4984f5552b02e6e0,gfx/pokemon/front/rb/voltorb,rb-front-voltorb
red-it,front,0x24911,137,c49e774991ee5ba06a9558ec4984f5552b02e6e0,gfx/pokemon/front/rb/voltorb,rb-front-voltorb
red-es,front,0x24911,137,c49e774991ee5ba06a9558ec4984f5552b02e6e0,gfx/pokemon/front/rb/voltorb,rb-front-voltorb
red-fr,front,0x24911,137,c49e774991ee5ba06a9558ec4984f5552b02e6e0,gfx/pokemon/front/rb/voltorb,rb-front-voltorb
aka-jp-rev0,back,0x249B8,94,c34e146dc15b8d754951a7cdb1c4578255599f36,gfx/pokemon/back/shared/voltorb,shared-back-voltorb
aka-jp-reva,back,0x249B8,94,c34e146dc15b8d754951a7cdb1c4578255599f36,gfx/pokemon/back/shared/voltorb,shared-back-voltorb
red-en-ue,back,0x2499A,94,c34e146dc15b8d754951a7cdb1c4578255599f36,gfx/pokemon/back/shared/voltorb,shared-back-voltorb
red-de,back,0x2499A,94,c34e146dc15b8d754951a7cdb1c4578255599f36,gfx/pokemon/back/shared/voltorb,shared-back-voltorb
red-it,back,0x2499A,94,c34e146dc15b8d754951a7cdb1c4578255599f36,gfx/pokemon/back/shared/voltorb,shared-back-voltorb
red-es,back,0x2499A,94,c34e146dc15b8d754951a7cdb1c4578255599f36,gfx/pokemon/back/shared/voltorb,shared-back-voltorb
red-fr,back,0x24999A,94,c34e146dc15b8d754951a7cdb1c4578255599f36,gfx/pokemon/back/shared/voltorb,shared-back-voltorb
