id,region,language,revision,status,size,sha1,sha256,notes
aka-jp-rev0,Japan,Japanese,0,candidate,524288,0623ad12f48c259447980d68bd85ddbf8204b2cd,392ce450d708c8d127aaed7afc20001a48625bd83a5fa5325be82f5c0972ccfa,"Header title POKEMON RED; header checksum 0x32; global checksum 0xa2c1"
aka-jp-rev1,Japan,Japanese,1,candidate,524288,ef74c79cded14204ac79e77f4964d9cb25003120,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,"Header title POKEMON RED; header checksum 0x31; global checksum 0xb866"
red-en-rev0,USA/Europe,English,0,candidate,1048576,ea9bcae617fdf159b045185467ae58b2e4a48b9a,5ca7ba01642a3b27b0cc0b5349b52792795b62d3ed977e98a09390659af96b7b,"Header title POKEMON RED; header checksum 0x20; global checksum 0x91e6"
red-de-rev0,Germany,German,0,candidate,1048576,87d523fe1a0c548db7c5477b451ddec1eb083c06,9cd186b288dbcd52413d561ae449f1f700c32b45af56dbf849095d4a0c8637a6,"Header title POKEMON RED; header checksum 0x18; global checksum 0x5cdc"
red-es-rev0,Spain,Spanish,0,candidate,1048576,fc17c5b904d551b1b908054ccd1c493f755f832a,a756cf7ad888aa46de4b9699a177a0edf1775e59eb6330014c6f5c139be9c45d,"Header title POKEMON RED; header checksum 0x18; global checksum 0x384a"
red-fr-rev0,France,French,0,candidate,1048576,47a7622fa30e6402a3891fe65b3a930bf9bd7aec,23766290f3b2347f815f1e8977c3b84047ed880cadda8c4f1a3595a633daa303,"Header title POKEMON RED; header checksum 0x18; global checksum 0x7afc"
red-it-rev0,Italy,Italian,0,candidate,1048576,65b97cf8f2f1cff711a6d08c6c894c8ce65ce522,e805d00b0002156d38b96efd57c823b0db3a3ef4cd32f98bd9bb4779bda3dd5b,"Header title POKEMON RED; header checksum 0x18; global checksum 0x89d2"
